student_id,school_id,assessment_name,assessment_date,score,max_score,passed
STU00001,SCH097,Diagnostic,2025-08-04,96.3,100,True
STU00001,SCH097,Unit 1,2025-08-19,87.8,100,True
STU00001,SCH097,Unit 2,2025-09-02,93.3,100,True
STU00001,SCH097,Midterm,2025-09-18,96.2,100,True
STU00001,SCH097,Unit 3,2025-10-06,100.0,100,True
STU00001,SCH097,Final,2025-10-26,100.0,100,True
STU00002,SCH087,Diagnostic,2025-08-04,100.0,100,True
STU00002,SCH087,Unit 1,2025-08-19,99.9,100,True
STU00002,SCH087,Unit 2,2025-09-02,88.4,100,True
STU00002,SCH087,Midterm,2025-09-18,100.0,100,True
STU00002,SCH087,Unit 3,2025-10-06,100.0,100,True
STU00003,SCH094,Diagnostic,2025-08-04,97.2,100,True
STU00003,SCH094,Unit 1,2025-08-19,100.0,100,True
STU00003,SCH094,Unit 2,2025-09-02,89.5,100,True
STU00003,SCH094,Midterm,2025-09-18,95.6,100,True
STU00003,SCH094,Unit 3,2025-10-06,100.0,100,True
STU00003,SCH094,Final,2025-10-26,100.0,100,True
STU00004,SCH067,Diagnostic,2025-08-04,88.1,100,True
STU00004,SCH067,Unit 1,2025-08-19,100.0,100,True
STU00004,SCH067,Unit 2,2025-09-02,99.0,100,True
STU00004,SCH067,Midterm,2025-09-18,100.0,100,True
STU00004,SCH067,Unit 3,2025-10-06,100.0,100,True
STU00004,SCH067,Final,2025-10-26,100.0,100,True
STU00005,SCH058,Diagnostic,2025-08-04,100.0,100,True
STU00005,SCH058,Unit 1,2025-08-19,100.0,100,True
STU00005,SCH058,Unit 2,2025-09-02,100.0,100,True
STU00005,SCH058,Midterm,2025-09-18,100.0,100,True
STU00005,SCH058,Unit 3,2025-10-06,100.0,100,True
STU00005,SCH058,Final,2025-10-26,100.0,100,True
STU00006,SCH079,Diagnostic,2025-08-04,55.6,100,False
STU00006,SCH079,Unit 1,2025-08-19,51.8,100,False
STU00006,SCH079,Unit 2,2025-09-02,65.3,100,True
STU00006,SCH079,Midterm,2025-09-18,79.5,100,True
STU00006,SCH079,Unit 3,2025-10-06,77.3,100,True
STU00006,SCH079,Final,2025-10-26,94.3,100,True
STU00007,SCH028,Diagnostic,2025-08-04,84.1,100,True
STU00007,SCH028,Unit 1,2025-08-19,76.9,100,True
STU00007,SCH028,Unit 2,2025-09-02,70.0,100,True
STU00007,SCH028,Midterm,2025-09-18,85.1,100,True
STU00007,SCH028,Unit 3,2025-10-06,97.4,100,True
STU00007,SCH028,Final,2025-10-26,92.5,100,True
STU00008,SCH030,Diagnostic,2025-08-04,76.8,100,True
STU00008,SCH030,Unit 1,2025-08-19,79.5,100,True
STU00008,SCH030,Unit 2,2025-09-02,74.6,100,True
STU00008,SCH030,Midterm,2025-09-18,63.2,100,True
STU00009,SCH090,Diagnostic,2025-08-04,29.6,100,False
STU00009,SCH090,Unit 1,2025-08-19,23.4,100,False
STU00009,SCH090,Unit 2,2025-09-02,38.8,100,False
STU00010,SCH090,Diagnostic,2025-08-04,56.1,100,False
STU00010,SCH090,Unit 1,2025-08-19,70.6,100,True
STU00010,SCH090,Unit 2,2025-09-02,54.7,100,False
STU00010,SCH090,Midterm,2025-09-18,59.1,100,False
STU00011,SCH062,Diagnostic,2025-08-04,56.1,100,False
STU00011,SCH062,Unit 1,2025-08-19,49.1,100,False
STU00011,SCH062,Unit 2,2025-09-02,59.7,100,False
STU00011,SCH062,Midterm,2025-09-18,69.0,100,True
STU00011,SCH062,Unit 3,2025-10-06,75.9,100,True
STU00011,SCH062,Final,2025-10-26,63.3,100,True
STU00012,SCH079,Diagnostic,2025-08-04,84.5,100,True
STU00012,SCH079,Unit 1,2025-08-19,86.6,100,True
STU00012,SCH079,Unit 2,2025-09-02,83.2,100,True
STU00012,SCH079,Midterm,2025-09-18,97.1,100,True
STU00012,SCH079,Unit 3,2025-10-06,87.5,100,True
STU00012,SCH079,Final,2025-10-26,100.0,100,True
STU00013,SCH071,Diagnostic,2025-08-04,78.5,100,True
STU00013,SCH071,Unit 1,2025-08-19,46.2,100,False
STU00013,SCH071,Unit 2,2025-09-02,55.7,100,False
STU00013,SCH071,Midterm,2025-09-18,66.2,100,True
STU00013,SCH071,Unit 3,2025-10-06,56.3,100,False
STU00013,SCH071,Final,2025-10-26,52.5,100,False
STU00014,SCH075,Diagnostic,2025-08-04,86.2,100,True
STU00014,SCH075,Unit 1,2025-08-19,100.0,100,True
STU00014,SCH075,Unit 2,2025-09-02,100.0,100,True
STU00014,SCH075,Midterm,2025-09-18,100.0,100,True
STU00014,SCH075,Unit 3,2025-10-06,100.0,100,True
STU00014,SCH075,Final,2025-10-26,100.0,100,True
STU00015,SCH023,Diagnostic,2025-08-04,71.0,100,True
STU00015,SCH023,Unit 1,2025-08-19,78.7,100,True
STU00015,SCH023,Unit 2,2025-09-02,88.1,100,True
STU00015,SCH023,Midterm,2025-09-18,98.4,100,True
STU00016,SCH029,Diagnostic,2025-08-04,69.8,100,True
STU00016,SCH029,Unit 1,2025-08-19,51.3,100,False
STU00016,SCH029,Unit 2,2025-09-02,73.0,100,True
STU00016,SCH029,Midterm,2025-09-18,73.4,100,True
STU00016,SCH029,Unit 3,2025-10-06,85.0,100,True
STU00016,SCH029,Final,2025-10-26,85.9,100,True
STU00017,SCH018,Diagnostic,2025-08-04,53.6,100,False
STU00017,SCH018,Unit 1,2025-08-19,47.2,100,False
STU00017,SCH018,Unit 2,2025-09-02,60.6,100,True
STU00017,SCH018,Midterm,2025-09-18,35.2,100,False
STU00017,SCH018,Unit 3,2025-10-06,38.8,100,False
STU00017,SCH018,Final,2025-10-26,56.9,100,False
STU00018,SCH061,Diagnostic,2025-08-04,86.8,100,True
STU00018,SCH061,Unit 1,2025-08-19,100.0,100,True
STU00018,SCH061,Unit 2,2025-09-02,100.0,100,True
STU00018,SCH061,Midterm,2025-09-18,100.0,100,True
STU00018,SCH061,Unit 3,2025-10-06,100.0,100,True
STU00018,SCH061,Final,2025-10-26,100.0,100,True
STU00019,SCH074,Diagnostic,2025-08-04,43.4,100,False
STU00019,SCH074,Unit 1,2025-08-19,55.9,100,False
STU00019,SCH074,Unit 2,2025-09-02,45.2,100,False
STU00019,SCH074,Midterm,2025-09-18,46.4,100,False
STU00019,SCH074,Unit 3,2025-10-06,65.0,100,True
STU00019,SCH074,Final,2025-10-26,86.8,100,True
STU00020,SCH056,Diagnostic,2025-08-04,41.3,100,False
STU00020,SCH056,Unit 1,2025-08-19,49.0,100,False
STU00020,SCH056,Unit 2,2025-09-02,50.8,100,False
