student_id,school_id,grade,gender,socioeconomic_band,device_access,internet_quality,enrollment_date,baseline_engagement_score,dropout_probability,dropped_out,dropout_day,dropout_date
STU00001,SCH097,8,Male,Middle,Laptop/Desktop,Poor,2025-08-08,0.814,0.139,False,,
STU00002,SCH087,9,Female,Middle,Own phone,Good,2025-08-05,0.915,0.088,True,73.0,2025-10-13
STU00003,SCH094,8,Female,Middle,Laptop/Desktop,Moderate,2025-08-02,0.98,0.056,False,,
STU00004,SCH067,8,Male,Low,Tablet,Good,2025-08-01,0.851,0.143,False,,
STU00005,SCH058,11,Male,Middle,Own phone,Moderate,2025-08-05,0.98,0.074,False,,
STU00006,SCH079,10,Female,Middle,Shared phone,Moderate,2025-08-06,0.662,0.305,False,,
STU00007,SCH028,10,Female,High,Shared phone,Good,2025-08-03,0.813,0.201,False,,
STU00008,SCH030,9,Male,Low,Shared phone,Moderate,2025-08-11,0.537,0.409,True,50.0,2025-09-20
STU00009,SCH090,12,Male,Low,Own phone,Poor,2025-08-19,0.341,0.635,True,47.0,2025-09-17
STU00010,SCH090,7,Female,Low,Laptop/Desktop,Poor,2025-08-15,0.576,0.397,True,57.0,2025-09-27
STU00011,SCH062,7,Male,Low,Laptop/Desktop,Poor,2025-08-07,0.516,0.39,False,,
STU00012,SCH079,6,Non-binary,High,Shared phone,Moderate,2025-08-10,0.762,0.204,False,,
STU00013,SCH071,9,Female,Low,Laptop/Desktop,Moderate,2025-08-17,0.639,0.266,False,,
STU00014,SCH075,9,Male,Low,Tablet,Moderate,2025-08-21,0.854,0.129,False,,
STU00015,SCH023,10,Male,Middle,Own phone,Good,2025-08-12,0.671,0.193,True,54.0,2025-09-24
STU00016,SCH029,8,Male,Low,Laptop/Desktop,Poor,2025-08-05,0.661,0.324,False,,
STU00017,SCH018,6,Male,Low,Tablet,Poor,2025-08-19,0.381,0.544,False,,
STU00018,SCH061,10,Male,Middle,Own phone,Good,2025-08-11,0.918,0.11,False,,
STU00019,SCH074,12,Male,Middle,Shared phone,Good,2025-08-01,0.595,0.35,False,,
STU00020,SCH056,8,Female,High,Shared phone,Good,2025-08-06,0.596,0.3,False,,
